Year,Event,Medal,Time,Note
2000,Men 200 Butterfly,None (5th),1:56.50,Youngest male US Olympian since 1932
2004,Men 400 Medley,Gold,4:08.26,World Record
2004,Men 4x100 Freestyle Relay,Bronze,3:14.62,
2004,Men 200 Freestyle,Bronze,1:45.32,
2004,Men 200 Butterfly,Gold,1:54.04,Olympic Record
2004,Men 4x200 Freestyle Relay,Gold,7:07.33,
2004,Men 200 Medley,Gold,1:57.14,Olympic Record
2004,Men 100 Butterfly,Gold,51.25,Olympic Record
2004,Men 4x100 Medley Relay,Gold,3:30.68,World Record
2008,Men 400 Medley,Gold,4:03.84,World Record
2008,Men 4x100 Freestyle Relay,Gold,3:08.24,World Record
2008,Men 200 Freestyle,Gold,1:42.96,World Record
2008,Men 200 Butterfly,Gold,1:52.03,World Record
2008,Men 4x200 Freestyle Relay,Gold,6:58.56,World Record
2008,Men 200 Medley,Gold,1:54.23,World Record
2008,Men 100 Butterfly,Gold,50.58,Olympic Record
2008,Men 4x100 Medley Relay,Gold,3:29.34,World Record
2012,Men 4x100 Freestyle Relay,Silver,3:10.38,
2012,Men 4x200 Freestyle Relay,Gold,6:59.70,
2012,Men 200 Butterfly,Silver,1:53.01,
2012,Men 200 Medley,Gold,1:54.27,
2012,Men 100 Butterfly,Gold,51.21,
2012,Men 4x100 Medley Relay,Gold,3:29.35,
2016,Men 4x100 Freestyle Relay,Gold,3:09.92,
2016,Men 200 Butterfly,Gold,1:53.36,
2016,Men 4x200 Freestyle Relay,Gold,7:00.66,
2016,Men 200 Medley,Gold,1:54.66,
2016,Men 100 Butterfly,Silver,51.14,
2016,Men 4x100 Medley Relay,Gold,3:27.95,Olympic Record